"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Shen","Support",1,"4.5%","50.0%","86.4%","0%","100%",5,5,10,3,"68.2%","20.0%","0%",-382,-856,-7,1,"2.7%",151,"6.8%","11.2%",1.8,0.49
"Shen","Top",7,"31.8%","50.0%","86.4%","29%","29%",13,23,38,2.2,"67.1%","23.0%","14%",-273,-80,-8.6,6.7,"22.5%",279,"15.8%","19.6%",0.37,0.14
"Sion","Top",3,"13.6%","4.5%","18.2%","100%","100%",13,10,17,3,"54.5%","25.6%","33%",226,293,5,7.4,"23.3%",411,"19.0%","22.1%",0.52,0.23
"Skarner","Jungle",1,"4.5%","4.5%","9.1%","0%","100%",0,4,1,0.3,"20.0%","26.7%","0%",-474,-96,-1,4.7,"13.1%",116,"9.0%","14.5%",0.28,0.21
"Syndra","Middle",3,"13.6%","4.5%","18.2%","33%","100%",11,9,16,3,"73.0%","19.6%","67%",377,303,11.3,8.4,"25.5%",556,"27.6%","25.1%",0.41,0.17
"Tahm Kench","Support",4,"18.2%","13.6%","31.8%","75%","75%",3,11,30,3,"45.8%","21.2%","25%",-99,165,-1.3,1,"2.1%",134,"6.5%","8.6%",1.27,0.19
"Taric","Support",2,"9.1%","4.5%","13.6%","50%","100%",1,6,21,3.7,"81.5%","22.2%","0%",-149,188,1,1.3,"3.7%",107,"5.5%","10.5%",1.56,0.35
"Thresh","Support",6,"27.3%","50.0%","77.3%","67%","33%",7,15,41,3.2,"58.5%","20.5%","17%",-94,-100,-0.2,1,"1.9%",136,"7.8%","10.3%",1.51,0.26
"Trundle","-",0,"0%","4.5%","4.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Twisted Fate","Middle",3,"13.6%","9.1%","22.7%","0%","100%",4,10,14,1.8,"69.2%","20.8%","0%",123,-183,-10.3,8.5,"27.5%",377,"21.4%","26.0%",0.4,0.09
"Urgot","Top",1,"4.5%","0.0%","4.5%","100%","100%",4,4,2,1.5,"37.5%","66.7%","0%",72,10,0,7.1,"23.2%",421,"25.7%","20.2%",0.54,0.39
"Vladimir","Top",1,"4.5%","4.5%","9.1%","100%","100%",2,1,7,9,"56.3%","12.5%","0%",-67,186,-6,8.4,"26.2%",459,"23.3%","21.9%",0.39,0
"Volibear","Jungle",1,"4.5%","0.0%","9.1%","0%","100%",1,3,5,2,"75.0%","18.8%","0%",27,147,9,5.1,"13.0%",147,"9.0%","16.1%",0.26,0.26
"Volibear","Top",1,"4.5%","0.0%","9.1%","0%","0%",0,3,2,0.7,"100.0%","25.0%","0%",-975,-199,-23,5.4,"21.3%",221,"17.8%","17.1%",0.36,0.12
"Yuumi","Support",2,"9.1%","18.2%","27.3%","0%","0%",0,4,11,2.8,"78.6%","10.3%","0%",-299,455,-4.5,0.3,"1.2%",167,"9.4%","7.5%",1.48,0.15
"Ziggs","Middle",2,"9.1%","0.0%","9.1%","0%","50%",0,4,5,1.3,"50.0%","14.3%","0%",-746,-806,-15,9,"28.8%",438,"30.7%","24.4%",0.34,0.07
"Zoe","Middle",2,"9.1%","13.6%","22.7%","50%","0%",3,6,10,2.2,"76.5%","18.8%","50%",-286,-105,-1.5,8.3,"23.3%",652,"32.5%","22.3%",0.38,0.13
