"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Rumble","Top",1,"2.6%","5.3%","7.9%","0%","0%",4,8,6,1.3,"66.7%","26.7%","100%",902,382,3,6.7,"24.6%",857,"36.6%","20.9%",0.26,0.03
"Sejuani","Jungle",1,"2.6%","0.0%","2.6%","0%","100%",0,4,4,1,"80.0%","40.0%","0%",-56,-189,-3,5.1,"11.8%",127,"7.6%","15.3%",0.3,0.24
"Senna","ADC",17,"44.7%","18.4%","63.2%","59%","41%",48,28,125,6.2,"80.8%","12.6%","12%",131,48,1.2,7.9,"23.7%",500,"24.2%","23.9%",0.45,0.29
"Sett","Jungle",7,"18.4%","60.5%","92.1%","86%","0%",12,20,44,2.8,"70.9%","25.0%","57%",-130,-120,-0.4,4.9,"13.2%",232,"12.3%","16.3%",0.3,0.43
"Sett","Middle",2,"5.3%","60.5%","92.1%","50%","0%",5,4,14,4.8,"65.5%","22.2%","0%",-42,61,-1,7.2,"18.8%",342,"17.8%","19.9%",0.4,0.09
"Sett","Top",3,"7.9%","60.5%","92.1%","0%","0%",7,14,19,1.9,"72.2%","25.5%","33%",-414,-164,-2,6.7,"21.6%",470,"20.5%","22.2%",0.39,0.23
"Shen","Top",15,"39.5%","52.6%","92.1%","60%","27%",35,37,123,4.3,"74.5%","20.8%","40%",-30,60,-2.7,7.8,"25.4%",364,"18.7%","21.8%",0.43,0.17
"Skarner","Jungle",1,"2.6%","0.0%","2.6%","100%","100%",0,1,12,12,"66.7%","14.3%","0%",129,390,-14,5.3,"15.7%",220,"10.8%","16.2%",0.79,0.19
"Swain","Middle",1,"2.6%","2.6%","5.3%","100%","100%",7,1,5,12,"75.0%","20.0%","100%",977,10,-6,8.5,"25.7%",529,"32.7%","27.5%",0.52,0.18
"Sylas","Middle",1,"2.6%","0.0%","2.6%","0%","100%",5,4,2,1.8,"70.0%","22.2%","100%",-455,-2,-3,7.5,"23.8%",492,"31.1%","24.0%",0.69,0.28
